Original Input,Canonical Name,Is Valid,Requires Review,Review Reason,Clusters,Cluster Names,Domain IDs,Domain Names
Digital Marketing,Digital Marketing,true,false,"",16,Digital Marketing & Growth,3,"Sales, Marketing & Customer Success"
Human Resources (Hr),Human Resources,false,true,"Broad domain, not a discrete skill","","","",""
Marketing,Marketing,false,true,"Broad domain, not a discrete skill","","","",""
Graphic Design,Graphic Design,true,false,"",10,"Visual Design, Animation & 3D",2,Design & Creative
Java,Java,true,false,"",1,Software Development & Engineering,1,Technology & IT
Artificial Intelligence (Ai),Artificial Intelligence,false,true,Too broad or domain-level,"","","",""
Advanced Excel,Microsoft Excel,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Product Development,Product Development,true,false,"",22,Strategy & Business Management,4,"Business, Finance & Legal"
Stakeholder Management,Stakeholder Management,true,false,"",32; 34,Project & Program Management; Communication & Interpersonal Skills,6,Leadership & Professional Development
Coaching & Mentoring,Coaching and Mentoring,true,false,"",31; 33,"Leadership & People Management; Coaching, Mentoring & Training",6,Leadership & Professional Development
Business Analysis,Business Analysis,true,false,"",21,Business Analysis & Intelligence,4,"Business, Finance & Legal"
Financial Reporting,Financial Reporting,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
React.Js,React,true,false,"",1,Software Development & Engineering,1,Technology & IT
Strategy,Strategy,false,true,Too broad or domain-level,"","","",""
Conflict Resolution,Conflict Resolution,true,false,"",28; 34,Employee Relations & Engagement; Communication & Interpersonal Skills,5; 6,Human Resources & People Operations; Leadership & Professional Development
Attention to Detail,Attention to Detail,false,false,"","","","",""
Agile Methodologies,Agile Methodology,true,false,"",1; 32,Software Development & Engineering; Project & Program Management,1; 6,Technology & IT; Leadership & Professional Development
Computer Science,Computer Science,false,false,"","","","",""
Kubernetes,Kubernetes,true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
Adobe Photoshop,Adobe Photoshop,true,false,"",10; 14,"Visual Design, Animation & 3D; Photography & Videography",2,Design & Creative
Organization Skills,Organisational Skill,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Public Speaking,Public Speaking,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Amazon Web Services (Aws),Amazon Web Services,true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
Machine Learning,Machine Learning,true,false,"",3,"Data Science, Analytics & AI",1,Technology & IT
Coaching,Coaching,true,false,"",33,"Coaching, Mentoring & Training",6,Leadership & Professional Development
Performance Management,Performance Management,true,false,"",28; 31,Employee Relations & Engagement; Leadership & People Management,5; 6,Human Resources & People Operations; Leadership & Professional Development
Risk Management,Risk Management,true,false,"",23,"Legal, Risk & Compliance",4,"Business, Finance & Legal"
Social Media,Social Media,true,true,Term is broad; could be a domain or a skill area,16,Digital Marketing & Growth,3,"Sales, Marketing & Customer Success"
Team Management,Team Management,true,false,"",31,Leadership & People Management,6,Leadership & Professional Development
Teamwork,Teamwork,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Budget Management,Budget Management,true,false,"",20; 32,Finance & Accounting; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Employee Engagement,Employee Engagement,true,false,"",28; 31,Employee Relations & Engagement; Leadership & People Management,5; 6,Human Resources & People Operations; Leadership & Professional Development
Relationship Building,Relationship Building,true,false,"",15; 34,Sales & Business Development; Communication & Interpersonal Skills,3; 6,"Sales, Marketing & Customer Success; Leadership & Professional Development"
Basic Project Management,Project Management,true,false,"",32,Project & Program Management,6,Leadership & Professional Development
.NET Framework,.NET Framework,true,false,"",1,Software Development & Engineering,1,Technology & IT
Employee Relations,Employee Relations,true,false,"",28,Employee Relations & Engagement,5,Human Resources & People Operations
Node.Js,Node.js,true,false,"",1,Software Development & Engineering,1,Technology & IT
Analytics,Analytics,false,true,Too broad or domain-level,"","","",""
Typescript,TypeScript,true,false,"",1,Software Development & Engineering,1,Technology & IT
Data Visualization,Data Visualisation,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Microservices,Microservices,true,false,"",1; 2,Software Development & Engineering; DevOps & Cloud Infrastructure,1,Technology & IT
Coding (Python),Coding,true,false,"",1,Software Development & Engineering,1,Technology & IT
C++,C++,true,false,"",1,Software Development & Engineering,1,Technology & IT
Contract Negotiation,Contract Negotiation,true,false,"",15; 23; 24,"Sales & Business Development; Legal, Risk & Compliance; Procurement & Vendor Management",3; 4,"Sales, Marketing & Customer Success; Business, Finance & Legal"
HTML,HTML,true,false,"",1,Software Development & Engineering,1,Technology & IT
Networking,Networking,true,true,Ambiguous term (IT or interpersonal),5; 34,IT Support & Network Administration; Communication & Interpersonal Skills,1; 6,Technology & IT; Leadership & Professional Development
Python (Programming Language),Python,true,false,"",1; 3,"Software Development & Engineering; Data Science, Analytics & AI",1,Technology & IT
Technical Support,Technical Support,true,false,"",5; 19,"IT Support & Network Administration; Customer Success, Service & Support",1; 3,"Technology & IT; Sales, Marketing & Customer Success"
User Experience (UX),User Experience,true,false,"",9,UX/UI Design & Research,2,Design & Creative
Administration,Administration,false,true,Too broad or domain-level,"","","",""
Regulatory Compliance,Regulatory Compliance,true,false,"",23; 29,"Legal, Risk & Compliance; HR Operations & Compliance",4; 5,"Business, Finance & Legal; Human Resources & People Operations"
Strategic Thinking,Strategic Thinking,true,false,"",22; 31,Strategy & Business Management; Leadership & People Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
A/B Testing,A/B Testing,true,false,"",9; 16,UX/UI Design & Research; Digital Marketing & Growth,2; 3,"Design & Creative; Sales, Marketing & Customer Success"
Decision Making,Decision Making,true,false,"",31; 35,Leadership & People Management; Personal Effectiveness & Productivity,6,Leadership & Professional Development
Business Strategy,Business Strategy,true,false,"",22,Strategy & Business Management,4,"Business, Finance & Legal"
Engineering,Engineering,false,true,Too broad or domain-level,"","","",""
Financial Analysis,Financial Analysis,true,false,"",20; 21,Finance & Accounting; Business Analysis & Intelligence,4,"Business, Finance & Legal"
Microsoft Powerpoint,Microsoft PowerPoint,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Talent Management,Talent Management,true,false,"",26; 28; 30,Talent Acquisition & Recruitment; Employee Relations & Engagement; Learning & Development,5,Human Resources & People Operations
Troubleshooting,Troubleshooting,true,false,"",5; 19,"IT Support & Network Administration; Customer Success, Service & Support",1; 3,"Technology & IT; Sales, Marketing & Customer Success"
Cloud Computing,Cloud Computing,true,true,"Potentially too broad, but a recognised skill area",2,DevOps & Cloud Infrastructure,1,Technology & IT
/HR,Human Resources,false,true,"Broad domain, not a discrete skill","","","",""
Compliance,Compliance,true,false,"",23; 29,"Legal, Risk & Compliance; HR Operations & Compliance",4; 5,"Business, Finance & Legal; Human Resources & People Operations"
Patience,Patience,false,false,"","","","",""
Adapatbility,Adaptability,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Empathy,Empathy,false,false,"","","","",""
Innovation,Innovation,false,true,Too broad or domain-level,"","","",""
.NET,.NET,true,false,"",1,Software Development & Engineering,1,Technology & IT
.NET Core,.NET Core,true,false,"",1,Software Development & Engineering,1,Technology & IT
.Com,.Com,false,true,"Unclear term, likely not a skill","","","",""
Benifits Of Critical Thinking,Critical Thinking,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Organisation Skills,Organisational Skills,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Recruitment Strategies,Recruitment Strategy,true,false,"",26,Talent Acquisition & Recruitment,5,Human Resources & People Operations
Accounting Software,Accounting Software,false,true,Too broad or domain-level,"","","",""
Adaptability And Flexibility,Adaptability and Flexibility,false,true,Compound or non-atomic term,"","","",""
Agile Frameworks,Agile Frameworks,false,true,Too broad or domain-level,"","","",""
AI Strategy,AI Strategy,true,false,"",3; 22,"Data Science, Analytics & AI; Strategy & Business Management",1; 4,"Technology & IT; Business, Finance & Legal"
Business Acumen,Business Acumen,true,false,"",22,Strategy & Business Management,4,"Business, Finance & Legal"
Cost Reduction,Cost Reduction,false,false,"","","","",""
HTML5,HTML5,true,false,"",1,Software Development & Engineering,1,Technology & IT
Docker,Docker,true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
1-On-1 Tutoring,One-to-One Tutoring,true,false,"",33; 55,"Coaching, Mentoring & Training; Classroom Instruction & Tutoring",6; 9,Leadership & Professional Development; Education & Human Services
1 Meetings,1 Meetings,false,false,"","","","",""
Facilitation Skills,Facilitation,true,false,"",33; 34,"Coaching, Mentoring & Training; Communication & Interpersonal Skills",6,Leadership & Professional Development
Cyber Security,Cybersecurity,false,true,Too broad or domain-level,"","","",""
French,French,true,false,"",37,Languages & Localization,6,Leadership & Professional Development
Graphics,Graphic Design,true,true,Interpreted from vague term 'Graphics',10,"Visual Design, Animation & 3D",2,Design & Creative
Microsoft Outlook,Microsoft Outlook,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Photography,Photography,true,false,"",14,Photography & Videography,2,Design & Creative
Dispute Resolution,Dispute Resolution,true,false,"",23; 28; 34,"Legal, Risk & Compliance; Employee Relations & Engagement; Communication & Interpersonal Skills",4; 5; 6,"Business, Finance & Legal; Human Resources & People Operations; Leadership & Professional Development"
English as a Second Language (ESL),ESL Instruction,true,true,Canonical name inferred from ambiguous term,37; 55,Languages & Localization; Classroom Instruction & Tutoring,6; 9,Leadership & Professional Development; Education & Human Services
Debt Collection,Debt Collection,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Feature Prioritization,Feature Prioritisation,true,false,"",22; 32,Strategy & Business Management; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
MICROSOFT 365 - EXCEL (ENG),Microsoft Excel,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
10-Key Proficiency,10-Key Data Entry,true,false,"",20; 35,Finance & Accounting; Personal Effectiveness & Productivity,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
3D Cad Modeling,3D CAD Modelling,true,false,"",10; 38,"Visual Design, Animation & 3D; Mechanical, Electrical & Civil Engineering",2; 7,"Design & Creative; Engineering, Manufacturing & Supply Chain"
GAAP Knowledge,GAAP,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
PPC Advertising,PPC Advertising,true,false,"",16,Digital Marketing & Growth,3,"Sales, Marketing & Customer Success"
ADHD,ADHD,false,false,"","","","",""
IT,Information Technology,false,true,Too broad or domain-level,"","","",""
Prospecting,Prospecting,true,false,"",15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Influencing Skills,Influencing,true,false,"",31; 34,Leadership & People Management; Communication & Interpersonal Skills,6,Leadership & Professional Development
SAS/STAT: Statistical Analysis System/Statistical,SAS/STAT,true,false,"",3,"Data Science, Analytics & AI",1,Technology & IT
U.S. Generally Accepted Accounting Principles (GAAP),US GAAP,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Equity Research,Equity Research,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Equity Trading,Equity Trading,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Expense Reports,Expense Reporting,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Expenses,Expense Management,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Express.Js,Express.js,true,false,"",1,Software Development & Engineering,1,Technology & IT
Financial Advisory,Financial Advisory,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Foreign Languages,Foreign Languages,false,true,"Category of skills, not a specific skill","","","",""
Gaming Industry,Gaming Industry,false,false,"","","","",""
Geology,Geology,false,true,"Broad academic field, not a specific applied skill","","","",""
Global Sourcing,Global Sourcing,true,false,"",24; 40,Procurement & Vendor Management; Supply Chain & Logistics,4; 7,"Business, Finance & Legal; Engineering, Manufacturing & Supply Chain"
HTML Emails,HTML Email Development,true,false,"",1; 16,Software Development & Engineering; Digital Marketing & Growth,1; 3,"Technology & IT; Sales, Marketing & Customer Success"
HTML Scripting,HTML Scripting,false,true,Ambiguous or non-standard technical term,"","","",""
Infrastructure As Code (Iac),Infrastructure as Code (IaC),true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
Internal Audit,Internal Audit,true,false,"",20; 23,"Finance & Accounting; Legal, Risk & Compliance",4,"Business, Finance & Legal"
International Law,International Law,true,false,"",23,"Legal, Risk & Compliance",4,"Business, Finance & Legal"
JMeter,JMeter,true,false,"",7,Software Quality Assurance,1,Technology & IT
JPA,Jakarta Persistence API (JPA),true,false,"",1,Software Development & Engineering,1,Technology & IT
Java Database Connectivity (JDBC),Java Database Connectivity (JDBC),true,false,"",1,Software Development & Engineering,1,Technology & IT
Market Risk,Market Risk,true,false,"",20; 21,Finance & Accounting; Business Analysis & Intelligence,4,"Business, Finance & Legal"
Material Requirements Planning (MRP),Material Requirements Planning (MRP),true,false,"",39; 40,Manufacturing & Production Operations; Supply Chain & Logistics,7,"Engineering, Manufacturing & Supply Chain"
Music,Music,false,false,"","","","",""
Music Theory,Music Theory,true,false,"",12,"Audio, Video & Media Production",2,Design & Creative
Peer Reviews,Peer Review,true,false,"",7; 11,"Software Quality Assurance; Content Creation, Writing & Editing",1; 2,Technology & IT; Design & Creative
Physics,Physics,false,false,"","","","",""
Press Releases,Press Release Writing,true,false,"",11; 17,"Content Creation, Writing & Editing; Brand, Content & Communications Strategy",2; 3,"Design & Creative; Sales, Marketing & Customer Success"
Programmable Logic Controller (Plc),Programmable Logic Controller (PLC),true,false,"",38; 39; 44,"Mechanical, Electrical & Civil Engineering; Manufacturing & Production Operations; Skilled Trades & Industrial Maintenance",7,"Engineering, Manufacturing & Supply Chain"
Prometheus.Io,Prometheus,true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
Property Law,Property Law,true,false,"",23,"Legal, Risk & Compliance",4,"Business, Finance & Legal"
RFP,RFP Management,true,false,"",15; 24,Sales & Business Development; Procurement & Vendor Management,3; 4,"Sales, Marketing & Customer Success; Business, Finance & Legal"
Siemens NX,Siemens NX,true,false,"",38; 39,"Mechanical, Electrical & Civil Engineering; Manufacturing & Production Operations",7,"Engineering, Manufacturing & Supply Chain"
Singing,Singing,true,false,"",12,"Audio, Video & Media Production",2,Design & Creative
Software Testing Life Cycle (Stlc),Software Testing Life Cycle (STLC),true,false,"",7,Software Quality Assurance,1,Technology & IT
Sports Marketing,Sports Marketing,true,false,"",16; 17,"Digital Marketing & Growth; Brand, Content & Communications Strategy",3,"Sales, Marketing & Customer Success"
Trading,Trading,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Up-selling,Upselling,true,false,"",15; 19,"Sales & Business Development; Customer Success, Service & Support",3,"Sales, Marketing & Customer Success"
Bid Writing,Bid Writing,true,false,"",11; 15,"Content Creation, Writing & Editing; Sales & Business Development",2; 3,"Design & Creative; Sales, Marketing & Customer Success"
Bids,Bid Management,true,false,"",15; 24,Sales & Business Development; Procurement & Vendor Management,3; 4,"Sales, Marketing & Customer Success; Business, Finance & Legal"
Building Business Partnerships,Building Business Partnerships,true,false,"",15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Business Insights,Business Insights,true,false,"",21,Business Analysis & Intelligence,4,"Business, Finance & Legal"
Business Partner Relations,Business Partnering,true,true,Canonical name and cluster mapping uncertain,22,Strategy & Business Management,4,"Business, Finance & Legal"
Change Communications,Change Communication,true,false,"",17; 34,"Brand, Content & Communications Strategy; Communication & Interpersonal Skills",3; 6,"Sales, Marketing & Customer Success; Leadership & Professional Development"
Chef,Chef,false,true,"Likely job title, not a skill","","","",""
Collaboration Solutions,Collaboration Solutions,true,true,Term is vague; assuming management of collaboration platforms,6,Enterprise Systems & Applications,1,Technology & IT
Computer Repair,Computer Repair,true,false,"",5,IT Support & Network Administration,1,Technology & IT
Content Delivery,Content Delivery,true,true,Ambiguous; could be technical (CDN) or marketing,16; 17,"Digital Marketing & Growth; Brand, Content & Communications Strategy",3,"Sales, Marketing & Customer Success"
Estimates,Estimation,true,true,Skill is valid but context-dependent; cluster mapping is general,32,Project & Program Management,6,Leadership & Professional Development
Evidence-Based Medicine,Evidence-Based Medicine,true,false,"",49,Clinical Care & Nursing,8,Healthcare & Life Sciences
Excel Models,Excel Modelling,true,false,"",20; 21,Finance & Accounting; Business Analysis & Intelligence,4,"Business, Finance & Legal"
Mandarin,Mandarin,true,false,"",37,Languages & Localization,6,Leadership & Professional Development
Maven,Maven,true,false,"",1; 2,Software Development & Engineering; DevOps & Cloud Infrastructure,1,Technology & IT
Note Taking,Note-Taking,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Payment Gateways,Payment Gateway Management,true,false,"",1; 62,Software Development & Engineering; Retail & E-Commerce Operations,1; 10,"Technology & IT; Hospitality, Retail & Events"
Payments,Payments,false,true,Too broad or domain-level,"","","",""
Revenue & Profit Growth,Revenue and Profit Growth,false,false,"","","","",""
Swift Messaging,SWIFT Messaging,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Securitization,Securitisation,true,false,"",20; 23,"Finance & Accounting; Legal, Risk & Compliance",4,"Business, Finance & Legal"
Service Desk,Service Desk Management,true,false,"",5,IT Support & Network Administration,1,Technology & IT
Treasury,Treasury Management,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Workday,Workday,true,false,"",6; 20; 29,Enterprise Systems & Applications; Finance & Accounting; HR Operations & Compliance,1; 4; 5,"Technology & IT; Business, Finance & Legal; Human Resources & People Operations"
Traffic Management,Traffic Management,true,true,"Ambiguous term (e.g., road vs. network traffic)",5; 40,IT Support & Network Administration; Supply Chain & Logistics,1; 7,"Technology & IT; Engineering, Manufacturing & Supply Chain"
TOGAF,TOGAF,true,false,"",6; 22,Enterprise Systems & Applications; Strategy & Business Management,1; 4,"Technology & IT; Business, Finance & Legal"
2nd Line,2nd Line Support,true,false,"",5; 19,"IT Support & Network Administration; Customer Success, Service & Support",1; 3,"Technology & IT; Sales, Marketing & Customer Success"
Unreal Engine,Unreal Engine,true,false,"",10; 13,"Visual Design, Animation & 3D; Game Design & Development",2,Design & Creative
Manual Handling,Manual Handling,true,false,"",42,"Health, Safety & Environment",7,"Engineering, Manufacturing & Supply Chain"
Global Sales,Global Sales,true,false,"",15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Organizational Psychology,Organisational Psychology,true,false,"",22; 28,Strategy & Business Management; Employee Relations & Engagement,4; 5,"Business, Finance & Legal; Human Resources & People Operations"
Priority Setting,Prioritisation,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Excel Advanced,Microsoft Excel,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
HTML and CSS Crash Course,HTML and CSS,true,false,"",1,Software Development & Engineering,1,Technology & IT
Empathy/Compassion,Empathy,true,true,Borderline case: trait vs. foundational skill,34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Leading a Team,Team Leadership,true,false,"",31,Leadership & People Management,6,Leadership & Professional Development
Governance,Governance,false,true,Too broad or domain-level,"","","",""
Accuracy,Attention to Detail,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Adult Learning,Adult Learning Theory,true,false,"",30; 33,"Learning & Development; Coaching, Mentoring & Training",5; 6,Human Resources & People Operations; Leadership & Professional Development
Lean,Lean Methodology,true,false,"",22; 41,"Strategy & Business Management; Lean, Six Sigma & Continuous Improvement",4; 7,"Business, Finance & Legal; Engineering, Manufacturing & Supply Chain"
Microsoft,Microsoft,false,false,"","","","",""
Access,Microsoft Access,true,true,Ambiguous term; assumed Microsoft Access,3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
OneDrive,OneDrive,true,false,"",6,Enterprise Systems & Applications,1,Technology & IT
Product,Product,false,true,Too broad or domain-level,"","","",""
Build Confidence,Confidence Building,false,false,"","","","",""
Baggage Policy Knowledge,Baggage Policy Knowledge,true,false,"",19; 63,"Customer Success, Service & Support; Hotel, Travel & Tourism Management",3; 10,"Sales, Marketing & Customer Success; Hospitality, Retail & Events"
Pediatric Cardiology Knowledge,Paediatric Cardiology,true,false,"",49,Clinical Care & Nursing,8,Healthcare & Life Sciences
Health It Proficiency,Health IT,true,false,"",53,Health Informatics & Administration,8,Healthcare & Life Sciences
Research Collaboration,Research Collaboration,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Sales Force Development,Sales Team Development,true,true,Ambiguous: could mean developing a sales team or developing on the Salesforce platform,15; 31,Sales & Business Development; Leadership & People Management,3; 6,"Sales, Marketing & Customer Success; Leadership & Professional Development"
Market Trend Analysis,Market Trend Analysis,true,false,"",18; 21; 22,Market Research & Consumer Insights; Business Analysis & Intelligence; Strategy & Business Management,3; 4,"Sales, Marketing & Customer Success; Business, Finance & Legal"
Urban Design Principles,Urban Design,true,false,"",38,"Mechanical, Electrical & Civil Engineering",7,"Engineering, Manufacturing & Supply Chain"
Store Planning,Store Planning,true,false,"",62,Retail & E-Commerce Operations,10,"Hospitality, Retail & Events"
Revenue Sharing Strategy,Revenue Sharing Strategy,true,false,"",20; 22,Finance & Accounting; Strategy & Business Management,4,"Business, Finance & Legal"
Pharmacology Knowledge,Pharmacology,true,false,"",49; 50,Clinical Care & Nursing; Biomedical Science & Pharmaceutical Research,8,Healthcare & Life Sciences
Historical Theory,Historical Theory,false,true,More of an academic subject than an applied professional skill,"","","",""
University Governance,University Governance,true,false,"",22; 58,Strategy & Business Management; Public Administration & Policy,4; 9,"Business, Finance & Legal; Education & Human Services"
Creative Content,Creative Content,false,true,"Too broad, describes an output rather than a specific skill","","","",""
Mobile Technology,Mobile Technology,false,true,Too broad or domain-level,"","","",""
Learning Strategies,Learning Strategies,true,false,"",30; 33; 56,"Learning & Development; Coaching, Mentoring & Training; Curriculum & Instructional Design",5; 6; 9,Human Resources & People Operations; Leadership & Professional Development; Education & Human Services
Medication Administration,Medication Administration,true,false,"",49,Clinical Care & Nursing,8,Healthcare & Life Sciences
Value Chain Management,Value Chain Management,true,false,"",22; 40,Strategy & Business Management; Supply Chain & Logistics,4; 7,"Business, Finance & Legal; Engineering, Manufacturing & Supply Chain"
Software Maintenance,Software Maintenance,true,false,"",1,Software Development & Engineering,1,Technology & IT
Transfusion Medicine,Transfusion Medicine,true,false,"",49; 50,Clinical Care & Nursing; Biomedical Science & Pharmaceutical Research,8,Healthcare & Life Sciences
Interview Scheduling,Interview Scheduling,true,false,"",26,Talent Acquisition & Recruitment,5,Human Resources & People Operations
Interview,Interviewing,true,false,"",26; 34,Talent Acquisition & Recruitment; Communication & Interpersonal Skills,5; 6,Human Resources & People Operations; Leadership & Professional Development
Property Insurance,Property Insurance,true,false,"",20; 23,"Finance & Accounting; Legal, Risk & Compliance",4,"Business, Finance & Legal"
Brake,Brake,false,false,"","","","",""
Collaboration,Collaboration,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Integrated Development Environment (Ide) Usage,IDE Usage,true,false,"",1,Software Development & Engineering,1,Technology & IT
Procedure Development,Procedure Development,true,false,"",21; 22,Business Analysis & Intelligence; Strategy & Business Management,4,"Business, Finance & Legal"
